日期 ,时间 ,维度 ,经度 ,海拔 ,速度 ,卫星数量 ,方向
2017年10月05日,9小时32分38秒,N 40.47.533度,E 111.41.856度,1108m,22.5944km/s,5,253.6度
2017年10月05日,9小时32分39秒,N 40.47.532度,E 111.41.852度,1106m,20.9276km/s,5,254.3度
2017年10月05日,9小时32分39秒,N 40.47.532度,E 111.41.852度,1106m,20.9276km/s,5,254.3度
2017年10月05日,9小时32分41秒,N 40.47.557度,E 111.41.837度,1181m,22.7796km/s,6,252.0度
2017年10月05日,9小时32分42秒,N 40.47.563度,E 111.41.830度,1199m,22.5944km/s,6,255.4度
2017年10月05日,9小时32分43秒,N 40.47.561度,E 111.41.826度,1195m,26.2984km/s,6,257.0度
2017年10月05日,9小时32分44秒,N 40.47.560度,E 111.41.821度,1194m,26.8540km/s,6,258.9度
2017年10月05日,9小时32分45秒,N 40.47.559度,E 111.41.815度,1192m,27.2244km/s,6,260.2度
2017年10月05日,9小时32分46秒,N 40.47.560度,E 111.41.810度,1194m,27.0392km/s,6,259.4度
2017年10月05日,9小时32分47秒,N 40.47.558度,E 111.41.806度,1195m,25.7428km/s,6,252.7度
2017年10月05日,9小时32分48秒,N 40.47.558度,E 111.41.800度,1196m,27.2244km/s,6,257.7度
2017年10月05日,9小时32分49秒,N 40.47.555度,E 111.41.796度,1184m,27.5948km/s,7,259.9度
2017年10月05日,9小时32分50秒,N 40.47.551度,E 111.41.791度,1174m,26.8540km/s,7,258.7度
2017年10月05日,9小时32分51秒,N 40.47.549度,E 111.41.787度,1167m,23.8908km/s,7,254.0度
2017年10月05日,9小时32分52秒,N 40.47.547度,E 111.41.783度,1162m,20.5572km/s,8,254.8度
2017年10月05日,9小时32分53秒,N 40.47.548度,E 111.41.779度,1159m,19.8164km/s,8,259.7度
2017年10月05日,9小时32分54秒,N 40.47.547度,E 111.41.776度,1151m,17.7792km/s,8,273.7度
2017年10月05日,9小时32分55秒,N 40.47.547度,E 111.41.771度,1147m,17.2236km/s,8,298.6度
2017年10月05日,9小时32分56秒,N 40.47.549度,E 111.41.769度,1147m,20.3720km/s,8,327.2度
2017年10月05日,9小时32分57秒,N 40.47.552度,E 111.41.767度,1147m,24.2612km/s,8,338.5度
2017年10月05日,9小时32分58秒,N 40.47.556度,E 111.41.766度,1146m,30.1876km/s,8,341.1度
